ledger_id,initiative,account,read_safe_summary,conversation_expected,expected_outcome,expected_learning,kpi_or_leading_indicator,objection_or_blocker,before_friday_owner_task,owner_lane,approval_state,trust_label,decision_needed,next_action,next_action_owner,due_date,downstream_artifact,status
TXL-2026-07-15-001,System,,Workflow adoption is 7%; V2 must make workflow provenance visible.,,,,,,,Nahua,Needs Facu,Verified,Approve workflow compliance gate for V2 publishes.,Create workflow compliance view and publish checklist.,Nahua,2026-07-16,workflow compliance view,New
TXL-2026-07-15-003,Strategic,Bill Doran / Kennicott / Dreisbach,"Strategic accounts confirmed: Bill Doran, Kennicott, Dreisbach.","Ask what one next conversation reduces account ambiguity for Bill Doran, Kennicott, and Dreisbach.","One blocker, metric, owner, and date per strategic account.",Which BUY/LIST/SELL/GROW lane is binding per account.,Next conversation date; blocker cleared; account objective; owner assigned.,"Strategic sequencing, supply, implementation, procurement, growth readiness.",Cata/Facu confirm one next conversation per account.,Mercurio,Needs Facu,Needs owner validation,Review first draft account plans.,Draft BUY/LIST/SELL/GROW account plan rows.,Mercurio,2026-07-16,account plans,New
TXL-2026-07-15-008,System,,Canonical hypothesis numbering conflicts across files and legacy agent memory.,,,,,,,Nahua,Needs Facu,Verified,Approve canonical reconciliation priority.,Create canonical conflict patch queue.,Nahua,2026-07-16,canonical CR,New
TXL-2026-07-15-009,System,K2K,K2K fee double-charge error persists in Pablito memory; correction should be canonical.,,,,,,,Nahua,Needs owner,Verified,Confirm where K2K correction should live.,Patch canonical learnings or create CR.,Nahua,2026-07-16,canonical CR,New
TXL-2026-07-15-011,Strategic,Dreisbach,Deliver Dreisbach curated vendor list to Angela; list is reported ready and overdue.,,,,,,,Pablito,Needs Facu,Needs owner validation,Confirm delivery path and owner.,Deliver curated vendor list or explicitly re-date/block it.,Facu,2026-07-17,account plan / Friday pack,New
TXL-2026-07-15-012,Strategic,Dreisbach,Resolve Dreisbach WV + Louisville client data dependency; WV is blocked because it is not in Snowflake.,,,,,,,Rose,Needs owner,Pending reconciliation,Determine source of WV/Louisville data or mark unavailable.,Return verified data read or blocker.,Facu/Rose,2026-07-17,dashboard gap / account plan,New
TXL-2026-07-15-013,Strategic,Dreisbach,Re-open Dreisbach implementation alignment with Camila + Sebastian; action overdue from 2026-07-07.,,,,,,,Pablito,Needs owner,Needs owner validation,Confirm whether Christine/Facu should reopen alignment.,Schedule or park implementation alignment.,Christine/Facu,2026-07-17,Friday pack / account plan,New
TXL-2026-07-15-015,SELL,Veldkamps,Resolve Veldkamps eSuite timeline and answer Facu open questions before SFDC close risk compounds.,,,,,,,Pablito,Needs owner,Needs owner validation,Confirm owner and implementation timeline.,"Get timeline, open questions, and next action from Santiago.",Santiago,2026-07-17,Friday pack,New
TXL-2026-07-15-016,Strategic,Bill Doran,Create Bill Doran strategic account profile/actions/plays from existing data; current strategic account has only data.md.,,,,,,,Mercurio,Proposed,Directional,Review first Bill Doran account-plan draft.,"Build profile, actions, plays, and next conversation.",Mercurio,2026-07-22,account plan,New
TXL-2026-07-15-017,SELL,PMT queue,Build SELL Commercial Readiness / PMT queue; dashboard marks this as weakest artifact and missing.,,,,,,,Pablito,Needs owner,Needs owner validation,Confirm queue source and Christine collaboration model.,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Christine/Pablito/Mercurio,2026-07-22,Friday pack / hub,New
TXL-2026-07-15-018,System,K2K,Propagate K2K fee correction into canonical learnings and clean conflicting Pablito memory references.,,,,,,,Nahua,Needs Facu,Pending reconciliation,Approve canonical correction priority.,Patch canonical learnings or create CR; clean stale memory references.,Nahua/Codex/Pablito,2026-07-18,CR / canonical,New
TXL-2026-07-15-019,System,,Fix hypothesis model conflict across canonical files and legacy memory references; H1-H3 vs H1-H4 blocks correctness.,,,,,,,Nahua,Needs Facu,Pending reconciliation,Approve reconciliation path.,Create canonical conflict patch queue.,Nahua/Codex,2026-07-18,CR / canonical,New
TXL-2026-07-15-020,System,,Create/publish first TX Execution Ledger file/table and seed required views.,,,,,,,Pablito,Proposed,Verified,Confirm ledger seed should become source of truth.,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",Codex/Pablito,2026-07-17,ledger / hub,In progress
