lead_id,initiative,account_or_segment,source,source_link,priority,signal,trigger,why_this_lead,conversation_direction,expected_outcome,expected_learning,owner_lane,validation_state,review_question
SUG-BUY-001,BUY,Connected + first order / no repeat pairs,Lead C,/tx-dashboards/lead-lists/lead_list_C_stopped_online.html,P0,First order happened but repeat did not,Expected reorder window or recent first order,Intent was proven once so repeat failure is more actionable than cold conversion,What would make you buy from this supplier again online?,Second/third order path or clear blocker,What breaks repeat procurement after initial trust,Cata / CS,Needs owner validation,Which pairs should be worked first and who owns the touch?
SUG-BUY-002,BUY,Accepted connection / no transaction pairs,Lead B,/tx-dashboards/lead-lists/lead_list_B_untransacted_connections.html,P0,Connection accepted but no first order,Immediately after connection acceptance,Intent exists but buying motion broke before first order,What did you expect to find or buy and what stopped you?,First-order blocker classified and one next step agreed,Whether connection intent fails because of supply price trust terms habit timing or tool friction,Cata / CS,Needs owner validation,Which pairs are still current enough to call?
SUG-BUY-003,BUY,Low-ratio procurement intent accounts,Lead I,/tx-dashboards/lead-lists/lead_list_I_low_ratio_procurement_intent.html,P1,Buying intent but low online conversion,Recent procurement activity search click or buyer request,Can reveal what buyers want to source and what would make online buying useful,What are you trying to source and what would make that routine easier through Koronet?,Buying need captured and routed to supply connection or pricing action,What would help buyers buy better online,Cata / CS,Ready for review,Which intent signals are real enough to prioritize?
SUG-BUY-004,BUY,Buyer buys online and offline from similar suppliers,Lead A / owner validation,/tx-dashboards/lead-lists/lead_list_A_offline_ready.html,P1,Digital and offline behavior coexist,Recent online/offline mix shift,Best path to understand leakage and which routines are realistic to digitalize,Which orders are easier online and which still need call text negotiation or manual sourcing?,Leakage reason classified and route to LIST SELL Product or account plan,Which patterns can be digitized vs need product/process change,Cata / CS + Rose,Needs data match,Can Rose identify this behavior reliably?
SUG-LIST-001,LIST,Bunch / format upload gap candidates,Lead F,/tx-dashboards/lead-lists/lead_list_F_bunch_upload_gaps.html,P0,Online supply may not match what the wholesaler sells offline,Existing eShop/eSuite plus product/format gap,Buyers cannot buy online what is not listed in the right format and time window,Which top products sell offline but are not reliably visible online?,One supply readiness pilot candidate or data blocker,Whether format variety time depth freshness or fulfillment is binding,Cata / CS + Rose,Needs Rose + owner validation,Which account has enough readiness to pilot?
SUG-LIST-002,LIST,Already selling online with incomplete coverage,Lead H,/tx-dashboards/lead-lists/lead_list_H_high_online_deep_dive.html,P0,Proof of online selling but likely remaining supply gaps,Strong online behavior or active online clients,Lower activation risk and strongest improvement candidate,What is working online today and what supply gaps still force buyers to call?,Improvement plan or benchmark pattern,What to improve in accounts already capable of online selling,Cata / CS + Rose,Needs Rose baseline,Which strong seller is best to improve first?
SUG-LIST-003,LIST,Always-on / best supply learning accounts,Lead G,/tx-dashboards/lead-lists/lead_list_G_always_on_benchmark.html,P1,High availability or always-on behavior,Use before assigning execution targets,Learning accounts show what good supply looks like,What makes this online catalog useful: format time depth freshness competitiveness buyer base?,Benchmark pattern or gap taxonomy,What to copy and what does not transfer,Rose + Cata / CS,Learning seed,Which patterns are transferable to normal eShop/eSuite accounts?
SUG-LIST-004,LIST,API sellers with strong online buying behavior,Lead H / API learning,/tx-dashboards/lead-lists/lead_list_H_high_online_deep_dive.html,P2,Buyers transact online through API workflow,Only as demand-pattern learning,Useful to learn what buyers buy online but not how to run eShop catalog operations,Which formats categories and time windows do buyers actually purchase online?,Demand pattern for LIST and BUY questions,What buyers value online independent of eShop workflow,Rose + Mercurio,Learning only,What can we learn without assuming API workflow transfers?
SUG-SELL-001,SELL,SYRIUS INC,SELL queue,/tx-dashboards/tx-strategy-v2/sell-readiness.html,P0,Near-term implementation with incomplete readiness fields,Contract started Jul 9 2026 and seed shows readiness gaps,Early usage path can prevent setup-only implementation,What is the first real usage path after setup: buy list sell or repeat?,Commercial readiness path defined or routed to support,Whether setup has a credible usage motion,Christine,Needs owner validation,Does Christine agree this needs TX support?
SUG-SELL-002,SELL,SPRINGFIELD FLORIST SUPPLY INC,SELL queue,/tx-dashboards/tx-strategy-v2/sell-readiness.html,P1,Upcoming wholesaler implementation,Contract timing Jul 20 2026,TX can help shape usage before go-live habits form,Which customer workflow should prove value first and what must be ready before marketing?,First usage path and measurement plan,How to make go-live create a real habit not only setup,Christine,Ready for review,Is this the right implementation row to help?
