company_id,company_name,account_class,business_type,product_tier,potential_tier,gmv_reference,gmv_source,ann_sell_2026,sell_months,penetration_pct,suspect_estimate,needs_review,notes
103078,Mayesh Wholesale Florist Inc,Client,Wholesaler,Core+,Flagship,197326307.2,Medido,173972675,7,~100% (tautological),False,,
41934,Continental Floral LLC,Client,Importer,Core+,Flagship,123784365.9,Medido,38911070,7,~100% (tautological),False,,
44150,Kennicott Brothers Company,Client,Wholesaler,Core+,Flagship,119974726.4,Medido,123896943,7,~100% (tautological),False,,
654131,DVFLORA SEWELL,Client,Wholesaler,K2K,Growth Engine,117900000.0,Estimado,42036,4,0.0,True,Estimado >20x reality,
7030,Bill Doran Company,Client,Wholesaler,Core+,Flagship,115665481,Medido,115665481,7,~100% (tautological),False,,
12941,"Rosaprima International, LLC",Client,Importer,Core+,Flagship,104960410,Medido,104960410,7,~100% (tautological),False,,
130337,EQR USA,Client,Importer,Core+,Flagship,85185934,Medido,85185934,7,~100% (tautological),False,,
103112,Fresca Farms,Client,Importer,Core+,Flagship,71206982,Medido,71206982,7,~100% (tautological),False,,
25489,-Sole Farms,Client,Importer,Core+,Flagship,58112704,Medido,58112704,7,~100% (tautological),False,,
18322,* Jet Fresh Flower Distributors Inc.,Client,Importer,Core+,Flagship,54638398,Medido,54638398,7,~100% (tautological),False,,
676861,Ontario Flower Growers Cooperative Ltd.,Prospect,Wholesaler,Core+,Growth Engine,50000000,Estimado (verificar),498506,1,1.0,False,"Auto-promoted from Prospect (Deactivated, Churned)",
,B-Fresh Floral,Prospect,Wholesaler,Unknown,Growth Engine,48600000.0,Medido,0,0,,False,,
38582,Gala Roses,Client,Importer,Core+,Flagship,40459849,Medido,40459849,7,~100% (tautological),False,,
,Mulrosas Cia.ltda,Pre-live,Grower,Unknown,Growth Engine,40000000.0,ORA,0,0,,False,,
2516,Brightland Farms,Client,Importer,Core+,Flagship,38482101,Medido,38482101,7,~100% (tautological),False,,
505896,Continental Floral PNW LLC,Client,Importer,Core+,Flagship,36930405.72,Medido,11149509,7,~100% (tautological),False,,
652793,FALL RIVER WHOLESALE,Prospect,Wholesaler,eSuite,Growth Engine,35000000,Estimado,2438,4,0.0,False,,
670450,FLORIAD- MONTREAL CANADA INC.,Prospect,Importer,Unknown,Growth Engine,35000000,Estimado (verificar),26131,2,0.1,False,,
655985,Mellano Sales,Client,Grower,Core+,Growth Engine,35000000,Estimado (verificar),0,0,,False,,
623491,Baisch & Skinner,Client,Wholesaler,K2K,Growth Engine,30000000.0,Estimado,848044,7,2.8,True,Estimado >20x reality,
765491,Dreisbach Wholesale,Client,Wholesaler,eSuite,Growth Engine,30000000,Estimado,55484,6,0.2,True,Estimado >20x reality,
395357,Pikes Peak Floral,Client,Wholesaler,K2K,Growth Engine,30000000.0,Estimado,333371,7,1.1,True,Estimado >20x reality,
33986,"Royal Flowers Inc, International",Prospect,Importer,Core+,Growth Engine,30000000,Estimado (verificar),17753,7,0.1,False,,
189419,Legacy Flowers,Client,Importer,Core+,Flagship,27766985,Medido,27766985,7,~100% (tautological),False,,
22218,Sunburst Farms,Client,Importer,Core+,Flagship,25080803,Medido,25080803,7,~100% (tautological),False,,
727605,"Lucas and Greer, Inc. dba L & G Wholesale Florist",Client,Wholesaler,eSuite,Growth Engine,25000000,Estimado (verificar),207338,7,0.8,False,Auto-promoted from Prospect (Other ERP: SMART System),
449344,Southern Floral Co,Client,Wholesaler,K2K,Growth Engine,25000000.0,Estimado,132142,7,0.5,True,Estimado >20x reality,
22143,"Royal Flowers Inc., Domestic",Client,Importer,Core+,Flagship,23801693.15,Medido,24278080,7,~100% (tautological),False,,
743681,"Alpha Fern Company, LLC",Pre-live,Wholesaler,Core+,Growth Engine,22000000,Estimado,0,0,,False,,
651216,HARDIN´S WHLSE - LIBERTY,Client,Wholesaler,eSuite,Growth Engine,22000000,Estimado,493421,7,2.2,True,Estimado >20x reality,
731091,KRUEGER WHOLESALE PROMO,Prospect,Wholesaler,Procurement,Growth Engine,22000000,Estimado,0,0,,False,,
6554,Valley Springs LLC,Client,Importer,Core+,Flagship,21872230.72,Medido,21322759,7,~100% (tautological),False,,
159761,Cleveland Plant & Flower Co.,Client,Wholesaler,K2K,Growth Engine,20000000.0,Estimado,912900,7,4.6,True,Estimado >20x reality,
476379,Lone Star Flower Market,Prospect,Wholesaler,Core+,Growth Engine,20000000,Estimado,0,0,,False,,
670554,MAHONEYS ROCKY LEDGE FARM &,Prospect,Wholesaler,Unknown,Growth Engine,20000000,Estimado (verificar),1251,1,0.0,False,,
38477,Sofia Flowers USA LLC,Prospect,Importer,Core+,Growth Engine,20000000,Estimado,0,0,,False,,
453081,* Welyflor / PROFILE FLOWERS,Client,Importer,Core+,Flagship,19333373,Medido,19333373,7,~100% (tautological),False,,
73730,Allure Farms,Client,Importer,Core+,Flagship,18417352,Medido,18417352,7,~100% (tautological),False,,
651277,BAYSTATE FARM DIRECT FLOWERS - CRANSTON,Pre-live,Wholesaler,Core+,Growth Engine,18000000,Estimado,0,0,,False,,
701220,McCarthy Wholesale,Prospect,Wholesaler,eSuite,Growth Engine,18000000,Estimado,1085,1,0.0,False,,
670668,"STRANGE`S FLORIST, INC.",Prospect,Wholesaler,Unknown,Growth Engine,18000000,Estimado,22944,2,0.1,False,,
,"Holland America Bulb Farms, Inc.",Prospect,Grower,Unknown,Growth Engine,15600000.0,Medido,0,0,,False,,
,"Reeves Floral Products, Inc.",Prospect,Wholesaler,Unknown,Growth Engine,15500000.0,Medido,0,0,,False,,
,Carbone Floral Distributors,Prospect,Wholesaler,Unknown,Growth Engine,15500000.0,Medido,0,0,,False,,
296458,Florimex Toronto Corp.,Client,Importer,Core+,Flagship,15419084.3,Medido,15757459,7,~100% (tautological),False,,
670311,Floral Importers and Distributors Inc. /Buds,Prospect,Wholesaler,Unknown,Growth Engine,15000000,Estimado (verificar),4250,3,0.0,False,,
166363,Guamito S.A.S NIT 900116641-5,Prospect,Grower,Core+,Growth Engine,15000000,Estimado,0,0,,False,,
664054,TFS Bristol,Client,Wholesaler,eSuite,Growth Engine,15000000,Estimado (verificar),334580,7,2.2,False,,
,Can-Mex Wholesale Flowers,Prospect,Wholesaler,Unknown,Growth Engine,14700000.0,Medido,0,0,,False,,
13982,Servicios Chilfresh Ltda.,Client,Grower,Core+,Flagship,14645932.77,Medido,2983702,7,~100% (tautological),False,,
498769,Melody Farms LLC,Client,Importer,Core+,Flagship,14550343,Medido,14550343,7,~100% (tautological),False,,
341499,Choice Farms,Client,Importer,Core+,Flagship,14549946.58,Medido,14615897,7,~100% (tautological),False,,
412951,KBC Cooler Account,Client,Importer,Core+,Flagship,14283895.91,Medido,14560436,7,~100% (tautological),False,,
543610,Frank Adams Wholesale Florist,Client,Wholesaler,eSuite,Growth Engine,14000000,Estimado,86011,7,0.6,True,Estimado >20x reality,
740646,Valley Floral Co. - Wichita,Client,Wholesaler,eSuite,Growth Engine,14000000,Estimado,313815,7,2.2,True,Estimado >20x reality,
,"Classic Floral, Inc.",Prospect,Wholesaler,Unknown,Growth Engine,13700000.0,Medido,0,0,,False,,
139851,Floral Chain Direct,Client,Importer,Core+,Flagship,12411068.02,Medido,11342918,7,~100% (tautological),False,,
571220,"Dramm & Echter, Inc",Client,Grower,Core+,Flagship,11968860,Medido,11968860,7,~100% (tautological),False,,
,J. Merullo Imports,Prospect,Importer,Unknown,Growth Engine,11700000.0,Medido,0,0,,False,,
343614,Galleria Farms,Client,Importer,Core+,Flagship,11651219.73,Medido,12002808,7,~100% (tautological),False,,
