owner_group,account,account_type,current_owner,work_status,activity_date,activity_source,buy_score,buy_read,buy_metric,buy_trust,list_score,list_read,list_metric,list_trust,sell_score,sell_read,sell_metric,sell_trust,connections_signal,usage_signal,blocker,next_question,next_action,metric_gap,source_label,source_link
Implementation,Main Wholesale Florist Pennsauken / Clifton NJ,eSuite Wholesaler / Procurement location,Camila / Felipe / Christine,Worked / active implementation,2026-05-21,Slack #koronet-new-implementation,,Unknown digital buying,"Procurement-only Clifton location named; no procurement purchase read yet",Missing source,2,Launch supply promise,"Slack says boxes and units; 0 clients at new location; eSuite intended to channel all sales",Slack sourced,,Pre-sell,"New location opened / eSuite start; no 30-day sales read",Missing source,Unknown,"Products/features: eSuite wholesaler + procurement location; supply promised boxes + units","New location + 0 clients means usage must be built from launch",Is the new location buying digitally and listing boxes + units from day one?,"Add to Christine weekly scorecard: procurement purchases, online sales, supply uploaded, active buyers","Need go-live date + first 30-day procurement/sales/product usage from Rose","Slack implementation read","https://kometsales.slack.com/archives/C07RXDXGNSJ"
Implementation,Price's Floral Wholesale LLC,Core / Procurement / eShop launch,Milena / Christine,Worked / daily implementation and go-live,2026-07-08,Fathom + maturity matrix,5,Digital-first buying,"97.3% Procurement capture ($82K of $84K); 35+ active K2K connections",Source-backed local,2,Pre-live / minimal list,"eShop contracted/configured; go-live moved to week of Jul 15",Source-backed local,1,Pre-live / zero real eCom,"$0 real eCommerce sales pre-live; $344 test/ever sales",Source-backed local,35+ active K2K connections,"Jacob actively uses Easy Handshake; procurement works immediately","Need to prove sell-side usage after launch, not only procurement",After go-live, do they publish useful supply and get first/5 online sales within 30 days?,"Track first 30 days: >=20 procurement purchases, >=5 online sales, >3 buy/sell transactions","Fresh post-go-live metrics blocked by Snowflake MFA; Rose needed","Wholesaler maturity matrix","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#prices"
Implementation,JFS Wholesale Floral,Implementation / eCommerce sandbox,Valentina / Christine,Worked / strategy and touchbase,2026-07-08,Fathom + maturity matrix,1,Fully offline buying,"$0 Procurement module; $1.64M Standalone PO; 35 active K2K connections",Source-backed local,2,Minimal list,"eShop exists; bunches disabled; 11 eShop users; only 1 ever purchased ($118)",Source-backed local,1,Near-zero selling,"$144 total eCommerce sales ever; 99.99% offline on recent GMV",Source-backed local,35 active K2K connections,"Featured products active; Stripe enabled; Future Sales enabled","Bunches disabled and inventory accuracy delay eCommerce launch","Can weekly specials + bunches become the first measurable online sales motion?","Prepare supply/client/traffic analysis for late-July eCommerce strategy meeting","Need current product settings + first 30-day post-change metrics from Rose","Fathom scan + maturity matrix","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#jfs"
Implementation,Baisch & Skinner,Implementation watch / Procurement blocker,Christian / Christine,Worked / Jul 9 touchbase,2026-07-09,Fathom + wholesaler metrics,2,Low Procurement module capture,"$286K total procurement; $24.9K Procurement channel; $260.6K Web; 8.7% Proc capture",Source-backed local,,Unknown list,"No current supply/list coverage read",Blocked source,5,Digital seller in local profile,"$437K eCom GMV; 97 eCom customers; appears 100% eCom in profile query",Needs validation,"Connections metric not in local source","Product usage blocker: PO traceability / K2K overwriting POs","PO traceability may block digital buying adoption",What workaround or product fix unblocks procurement usage?,"Route blocker to Product/Implementation and track Jul 23 working session","Need current connections + product usage + blocker owner/date","Fathom scan + Wholesaler metrics v2","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#baisch"
Implementation,Pampa Products,Implementation watch,Milena / Emilio / Christine,Worked / kickoff blockers,2026-07-10,Fathom + Slack, ,Unknown digital buying,"No procurement read yet",Missing source,1,Not ready to list,"Go-live blocked on Easy Handshake directory submission; eCommerce delayed to August",Source-backed local,1,Not ready to sell,"No eCommerce movement metric yet",Missing source,Unknown,"EH directory / eCommerce setup dependency","Implementation prerequisites not finished",What must be true before eCommerce launch: directory, inventory, supply, buyers?,"Keep as blocker row, not growth candidate","Need product usage/go-live/first 30-day metrics after launch","Fathom scan + Slack implementation queue","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#pampa"
Implementation,Sims Flowers,Implementation watch + possible Growth overlap,Santiago / Christine,Worked / implementation call,2026-07-09,Fathom + offline dashboard,,Unknown digital buying,"Procurement metric not clean in local source",Missing source,,Operational list work,"Labeling / NY vs NJ pallet sorting; multilocation pricing / cross-docking work",Directional,3,Existing online selling signal,"Offline dashboard shows Sims ramped from $126K to $1.25M in online context; eCom $176K signal",Needs validation,Unknown,"Operational usage: labeling, pricing, cross-docking","Operational issues may block list/sell readiness",Is Sims ready for Growth refine, or still implementation-blocked?,"Keep in implementation watch; verify repeat buyers and owner/champion before Growth","Need current L90D online buyers, repeat, procurement, and supply coverage","Fathom scan + offline dashboard","/tx-dashboards/tx-strategy-v2/source-cs-impl.html#sims"
Implementation,Quinlan-Wasserman Inc,eSuite Wholesaler,Nahomi / Christine,Starting / needs kickoff readiness,2026-07-06,Slack #koronet-new-implementation,,Unknown digital buying,"No procurement read yet",Missing source,,Unknown list,"eSuite Wholesaler queue signal; missing start readiness in Slack",Slack sourced,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Implementation form/payment/handoff status uncertain","Readiness metadata incomplete",What products/features should they use first to create value?,"Add to weekly implementation scorecard","Need SFDC start date + product footprint + first 30-day metrics","Slack implementation queue","https://kometsales.slack.com/archives/C07RXDXGNSJ"
Implementation,Tennessee Florist Supply - Knox,eSuite Wholesaler,Nahomi / Christine,Starting / payment method ready,2026-07-07,Slack #koronet-new-implementation,,Unknown digital buying,"No procurement read yet",Missing source,,Unknown list,"Payment method ready; eSuite Wholesaler queue",Slack sourced,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Product usage path not defined","Need first BUY/LIST/SELL path",What buying/listing action should happen before sales motion?,"Add to weekly implementation scorecard","Need go-live date + product usage + first 30-day sales/procurement","Slack implementation queue","https://kometsales.slack.com/archives/C07RXDXGNSJ"
Implementation,Penn Valley Floral,eSuite Wholesaler,Camila / Christine,Retaking implementation,2026-07-08,Slack #koronet-new-implementation,,Unknown digital buying,"No procurement read yet",Missing source,,Unknown list,"Retaking implementation; previously trained on eSuite V1",Slack sourced,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Needs re-implementation context","Need to know what changed since eSuite V1 training",What blocks commercially ready usage this time?,"Add to weekly implementation scorecard","Need current product footprint + prior usage + first 30-day metrics","Slack implementation queue","https://kometsales.slack.com/archives/C07RXDXGNSJ"
Implementation,Springfield Florist Supply,Core / Hard Goods / implementation start,Valentina / Christine,Upcoming implementation,2026-06-08,Slack + Pablito tracker,,Unknown digital buying,"No procurement read yet",Missing source,,Unknown list,"Hard Goods module; implementation starts Jul 20; $550K/mo sales and 81% CC signal from tracker",Directional,,Unknown selling,"No online sales read yet",Missing source,Unknown,"Hard Goods and commercial usage path need definition","Need first BUY/LIST/SELL path after implementation",Can this become early Commercial Readiness proof?,"Add to implementation watchlist for first 30 days","Need source-backed GMV, product footprint, procurement, online sales","Slack + active accounts tracker","https://kometsales.slack.com/archives/C07RXDXGNSJ"
