readback_id,source_ledger_id,initiative,account,meeting_status,decision_or_commitment,owner,due_date,expected_outcome,expected_learning,actual_result,actual_learning,blocker,route_next,next_surface
TXR-001,TXL-2026-07-15-002,SELL,,Pending Friday review,Confirm implementation queue and readiness criteria with Christine.,Pablito,2026-07-16,Selected PMTs marked TX support yes/no with owner/date.,What prevents implementation from becoming real usage.,,,"Owner, setup, supply, cohort, measurement, customer workflow.","Build SELL PMT readiness queue with account, stage, usage path, milestone.",Friday queue
TXR-002,TXL-2026-07-15-003,Strategic,Bill Doran / Kennicott / Dreisbach,Pending Friday review,Review first draft account plans.,Mercury,2026-07-16,"One blocker, metric, owner, and date per strategic account.",Which BUY/LIST/SELL/GROW lane is binding per account.,,,"Strategic sequencing, supply, implementation, procurement, growth readiness.",Draft BUY/LIST/SELL/GROW account plan rows.,account plans
TXR-003,TXL-2026-07-15-004,BUY,Lead B queue,Pending Friday review,Approve first 10 pairs or reject selection logic.,Mercury,2026-07-16,Blocker classified and next order path or no-go captured.,Why connected pairs do not transact or repeat.,,,"Supply, price, trust, habit, terms, timing, ops, tool, unknown.",Create first weekly BUY queue with blocker taxonomy.,Friday queue
TXR-004,TXL-2026-07-15-005,LIST,Lead F candidates,Pending Friday review,Select first supply readiness pilot account.,Mercury,2026-07-16,First pilot or explicit data/customer workflow blocker.,Which supply dimension blocks digital conversion.,,,"Format, variety, time depth, freshness, fulfillment, buyer base.","Build LIST pilot row: top 5 products, owner, pass/fail metric.",Friday queue
TXR-005,TXL-2026-07-15-006,GROW,Black Belt candidates,Pending Friday review,Approve operator table format and first accounts.,Mercury,2026-07-16,One candidate/cohort/message/metric locked or parked.,Whether readiness can be amplified or needs more diagnosis.,,,"Readiness, supply, willingness, cohort, channel, measurement.",Add account/cohort/play/message/metric/expected learning table.,Black Belt operator view
TXR-006,TXL-2026-07-15-011,Strategic,Dreisbach,Pending Friday review,Confirm delivery path and owner.,Facu,2026-07-17,,,,,,Deliver curated vendor list or explicitly re-date/block it.,account plan / Friday pack
TXR-007,TXL-2026-07-15-012,Strategic,Dreisbach,Pending Friday review,Determine source of WV/Louisville data or mark unavailable.,Facu/Rose,2026-07-17,,,,,,Return verified data read or blocker.,dashboard gap / account plan
TXR-008,TXL-2026-07-15-013,Strategic,Dreisbach,Pending Friday review,Confirm whether Christine/Facu should reopen alignment.,Christine/Facu,2026-07-17,,,,,,Schedule or park implementation alignment.,Friday pack / account plan
TXR-009,TXL-2026-07-15-014,Strategic,Dreisbach,Pending Friday review,Confirm billing gap scope and whether it affects current read.,Rose/Codex,2026-07-17,,,,,,Return verified eCom fee billing read.,dashboard gap
TXR-010,TXL-2026-07-15-015,SELL,Veldkamps,Pending Friday review,Confirm owner and implementation timeline.,Santiago,2026-07-17,,,,,,"Get timeline, open questions, and next action from Santiago.",Friday pack
TXR-011,TXL-2026-07-15-016,Strategic,Bill Doran,Pending Friday review,Review first Bill Doran account-plan draft.,Mercury,2026-07-22,,,,,,"Build profile, actions, plays, and next conversation.",account plan
TXR-012,TXL-2026-07-15-017,SELL,PMT queue,Pending Friday review,Confirm queue source and Christine collaboration model.,Christine/Pablito/Mercury,2026-07-22,,,,,,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Friday pack / hub
TXR-013,TXL-2026-07-15-020,System,,Pending Friday review,Confirm ledger seed should become source of truth.,Codex/Pablito,2026-07-17,,,,,,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",ledger / hub
