Company,Company ID,Business Type,Christine GMV,Christine Source,External Est Low,External Est Mid,External Est High,Confidence,Methods,Notes
AD TRADING CORP DBA AD FLORAL TRADING,665296,Wholesaler,,not in Christine cascade,2000000,3000000,4500000,Low,headcount: 5-9 emp x $375K + aggregator floor: $1M x4,"Aggregator says $1M rev - treat as floor (x4 = $4M). 5-9 employees x $375K = $1.9-3.4M. Single Doral FL location, B2B wholesale. Closed per Yelp Jan 2025 - may be inactive. Flag for verification."
ALLIANCE FLORAL COMPANY,664719,Wholesaler,,Sin dato,3000000,5000000,7000000,Low,location: 1 hub Carlsbad CA x $5M,Located in Carlsbad International Floral Trade Center. San Diego secondary metro. Supplies SD County florists and event designers. No employee count found. Single hub.
Allied Cut Flower,643672,Wholesaler,,not in Christine cascade,2000000,3500000,5000000,Medium,headcount: 9 emp x $375K + location: 1 hub Cleveland x $4M,"Family-owned, est 1991, single location on Carnegie Ave Cleveland. 9 employees. Serves Northeast Ohio retail florists. Cleveland secondary metro. $9 x $375K = $3.4M. Consistent with single-hub secondary market estimate."
"Alpha Fern Company, LLC",743681,Wholesaler,,Sin dato,15000000,22000000,30000000,Medium,headcount: 50-65 emp x $375K + production: 33M leatherleaf stems + other,"Grower-shipper, 250+ acres, 78 varieties. Sells 33M leatherleaf stems/yr + 1.6M tree fern. At $0.55-0.65/stem wholesale, leatherleaf alone ~$18-21M. ~60 employees x $375K = $22.5M. National distribution. High-volume commodity greens operation."
"American Floral Cargo/Splendor Proteas, LLC",295299,Importer,,not in Christine cascade,3000000,6000000,10000000,Low,business model: Miami cargo consolidator,Two entities: American Floral Cargo = Miami-based cargo consolidator/logistics from Ecuador/Colombia (est ~8yrs). Splendor Proteas = specialty protea importer. Combined entity unclear. No employee count. Logistics model = lower GMV than traditional importer.
BAYSTATE FARM DIRECT FLOWERS - CRANSTON,651277,Wholesaler,,Sin dato,12000000,18000000,25000000,High,location: 4 hubs x $5M + headcount: 29 emp x $375K,"New England's largest full-service floral distributor per own description. 4 locations, 80+ years. Cranston RI is one of 4 hubs. 29 employees total (may be per location or total - unclear). Method A: 4 hubs x $5M = $20M. Method B: 29 x $375K = $10.9M. Midpoint ~$18M reasonable for regional leader."
BRIEGER WHSLE -TX,655098,Wholesaler,,Sin dato,1000000,2000000,3000000,Medium,headcount: 4 emp x $375K + aggregator: $640K x4,Aggregator says $640K rev - floor. 4 employees x $375K = $1.5M. San Antonio secondary market. 40+ year family business. PPP loan data consistent with small operation. Single location.
BlossomR,734065,Wholesaler,,not in Christine cascade,,,,No data,,"No public presence found under 'BlossomR'. Searched LinkedIn, web, industry directories. Company may be newly registered, DBA, or operate under different name. Needs internal Koronet data to proceed."
CALI WHOLESALE.-CA,664988,Wholesaler,,not in Christine cascade,3000000,5000000,7000000,Low,location: 1 hub Carlsbad CA x $5M,"Located at 5858 Dryden Pl, Carlsbad CA (International Floral Trade Center). Access for licensed florists/event pros only. Hours 5am-1pm M-F. Single location. No employee count found. SD county secondary metro."
CHICAGO'S WHOLESALE,731381,Wholesaler,,Sin dato,800000,1500000,2500000,Medium,headcount: 4 emp x $375K + aggregator: $240K x4,"Boutique-style wholesaler, women-owned, 25+ years. Buzzfile: 4 employees, ~$240K rev - aggregator floor. 4 x $375K = $1.5M. Chicago major metro but boutique model caps upside. Small operation."
Cataleya Flowers D&A,735300,Wholesaler,,Sin dato,,,,No data,,"Multiple retail 'Cataleya Flowers' found (Spring Valley CA, Philadelphia PA, OKC OK) but none match 'D&A' as wholesale entity. Company ID 735300 may be a recently onboarded account with minimal web presence. Needs internal Koronet lookup."
DC FLOWERS DIRECT,590728,Wholesaler,,not in Christine cascade,,,,No data,,"CONFIRMED CLOSED as of February 27, 2026. Operations concluded; customers redirected to DVFlora. GMV = $0 going forward. Flag for removal from active account list."
DKAY WHOLESALE INC,732518,Wholesaler,,Sin dato,1500000,2500000,4000000,Medium,headcount: 6 emp x $375K + location: 1 hub Jacksonville x $4M,"30+ year family business. Full-service wholesaler (cut flowers, greens, hardgoods). 6 employees. Jacksonville secondary metro. Delivery radius 45 miles. ZoomInfo: 1-10 emp. 6 x $375K = $2.25M. Jacksonville is mid-tier market."
"Esprit Salt Lake, Inc",664623,Wholesaler,,not in Christine cascade,2000000,3500000,5000000,Low,location: 1 hub Salt Lake City x $4M,"Est 1989, family-owned. Sources direct from top growers worldwide. Serves florists, grocery stores, corporate events, wedding coordinators. Single SLC location. No employee count. SLC = secondary metro."
Exclusive Wholesale,716166,Wholesaler,,Sin dato,,,,No data,,No match found for 'Exclusive Wholesale' as a floral company. Common name returns generic results. Needs Koronet internal data for address/website to proceed.
FALL RIVER WHOLESALE,652793,Wholesaler,,not in Christine cascade,25000000,35000000,50000000,High,headcount: 150 emp x $375K + facility: 130K sqft,"Largest direct importer in New England/NY per own description. Est 1947. 130,000 sqft facility. 150 employees (one source; another says 26 - use higher given facility size). RocketReach: $28.7M rev. 150 x $375K = $56M high but facility + import volumes support large scale. $35M mid reasonable."
FLEURIGROS QUEBEC 1995 INC.,670423,Wholesaler,,not in Christine cascade,5000000,8000000,12000000,Low,facility: 43 cold-room doors + aggregator: <$5M floor x3,Leading Quebec City distributor of cut flowers + accessories. 43 cold room doors = significant capacity. ZoomInfo: <$5M (aggregator floor). Quebec City = mid-tier Canadian market. No employee count found.
FLORIAD- MONTREAL CANADA INC.,670450,Importer,,not in Christine cascade,20000000,35000000,55000000,Medium,import records: 1513 shipments + market position: Canada's largest per own claim,"Est 1985, 'Canada's most reputable importer' per own description. 1,513 import shipments total, 10 trading partners. Montreal = major Canadian market. Imports from Colombia primarily. No employee count found. Large import volumes justify upper range estimate for Canadian market."
FLOWERS OF NASHVILLE,664019,Wholesaler,,Sin dato,3000000,5000000,7000000,Low,location: 1 hub Nashville x $5M,"Located at 851 Visco Dr, Nashville TN. Nashville = growing major metro. No employee count found. Single hub. Nashville is rapidly growing market but limited signals found."
"FMI, LLC.-FL",664540,Wholesaler,,not in Christine cascade,3000000,6000000,10000000,Low,market position: Miami importer/distributor 20+ years,"FMI Farms - family-owned wholesale importer/distributor, 20+ years, Miami International Airport area (2153 NW 86th Ave, Doral). Ships nationwide. No employee count. Aggregator rev $770K = extreme floor for Miami importer. RocketReach estimate unreliable."
Florabundance.,664314,Wholesaler,,Sin dato,3000000,5000000,7000000,Medium,headcount: 18 emp x $375K + aggregator: $961K x4,"Direct-ship wholesale, fresh cut flowers + foliage. 18 employees. Aggregator $961K = floor. RocketReach confirmed 18 emp. 18 x $375K = $6.75M. Ships nationally (not local delivery model). Carpinteria CA grower-adjacent. E-commerce model so $375K/emp may understate. $5M mid is conservative."
Floral Cooperative Purchasing Group LLC,37745,Wholesaler,,not in Christine cascade,2000000,4000000,6000000,Low,location: 1 hub Baltimore area x $4M,"Wholesale floral distributor, Baltimore area. Website: weshook.com. No employee count found. Cooperative purchasing model may indicate smaller GMV but pooled buying power."
Floral Importers and Distributors Inc. /Buds,670311,Wholesaler,,not in Christine cascade,8000000,15000000,25000000,Low,market position: NY Metro importer/distributor + team experience: 90+ combined years,"BUDS Floral: est 1992, moved to larger Northvale NJ facility. Serves NY Metro area florists, wedding designers, supermarkets. No employee count. NY Metro = major market. 'Global sourcing' model. Single DC serving dense market."
"Floramix, Inc.",561518,Importer,,not in Christine cascade,5000000,8000000,12000000,Medium,aggregator: $5-10M range + headcount: 5-9 emp x $700K (importer rate),"Manta: $5-10M revenue, 5-9 employees. Miami importer. At importer rate ($700K-1.2M/US employee): 7 emp x $1M = $7M. Aggregator range $5-10M consistent. Mid $8M reasonable."
Florisert,699974,Grower,,not in Christine cascade,2000000,5000000,10000000,Low,business model: Peru export grower,"Peruvian grower/exporter of limonium, wax flowers, foliage, ranunculus, anemones, mimosa, hydrangeas. Year-round supply. No employee count or revenue found. Estimate based on typical Andean medium grower export volumes."
"Flowers by Fudgie, Inc",665316,Wholesaler,,not in Christine cascade,500000,1000000,1500000,Low,business type: appears retail not wholesale,"WARNING: Yelp/LinkedIn shows as retail florist, not wholesale. Full service florist est 1981, Sarasota FL. If misclassified as Wholesaler in Koronet, GMV will be overstated. Retail florist estimate only."
Full Pot - Ft. Lauderdale,642076,Wholesaler,,Sin dato,5000000,8000000,12000000,Medium,headcount: 11-50 emp x $375K + market position: South Florida since 1999,"Trusted South FL wholesale distributor since 1999. LinkedIn: 11-50 employees. Serves Miami, Fort Lauderdale, Pompano Beach, Boca Raton. 25 emp x $375K = $9.4M. Major South Florida market."
GOMEZ B.V.,600370,Importer,,not in Christine cascade,,,,No data,,No public data found for 'GOMEZ BV' as flower importer. Dutch BV entity. Needs KVK (Dutch chamber) lookup or import record search. Likely small-to-mid Dutch trader given BV structure.
Gassafy Wholesale Florist Inc,654566,Wholesaler,,Sin dato,4000000,6000000,9000000,Medium,headcount: 17 emp x $375K + aggregator: $6.2M,"Family-owned, 50+ years. Fort Wayne IN secondary market. ZoomInfo: 17 employees, $6.2M rev. 17 x $375K = $6.4M. Aggregator $6.2M unusual reliability - may be a source that has actual data. Consistent signals."
"Global Bouquet, LLC",529514,Importer,,not in Christine cascade,,,,No data,,No public data found under 'Global Bouquet LLC'. Miami importer area likely given company ID. Needs import record search (ImportYeti/Panjiva) or internal Koronet address data.
Greens and Flowers Connection,321907,Importer,,not in Christine cascade,2000000,4000000,7000000,Low,import records: 46 US shipments since 2019,"Florida-based importer. 46 shipments to US since Sep 2019 (Datamyne). Low shipment count suggests small-to-mid importer. No employee count, no website found."
Guamito S.A.S NIT 900116641-5,166363,Grower,,not in Christine cascade,8000000,15000000,25000000,Medium,import records: 5610 shipments + location: Rionegro Antioquia Colombia,"Colombian exporter, 5,610 total shipments (very high volume). Top US partner: Americana Inc. Also ships to Legacy Flowers (Miami). Multiple addresses (farm + Bogota office). High shipment count indicates large production. Colombian carnation/rose farm."
HALL'S - BIRMINGHAM,713789,Wholesaler,,Sin dato,3000000,5000000,8000000,Low,location: 1 hub Birmingham AL x $4M + history: est 1947,"Est 1947, B2B only (not open to public). Birmingham secondary metro. Hall's seems to be a 2-location Alabama operation (Birmingham + Theodore). No employee count for Birmingham location specifically."
HARDIN'S WHLSE - LIBERTY,651216,Wholesaler,,Sin dato,15000000,22000000,30000000,High,headcount: 50-99 emp x $375K + facility: 100K sqft + 285K sqft greenhouse,"Major operation: 100K sqft warehouse, 3100 sqft cut flower cooler, 285K sqft greenhouse on 6 acres. 14,000+ items, 3,825 flower varieties. 50-99 employees. Wholesale-only (trade). 75 emp x $375K = $28M. Facility size supports upper range. Strong High confidence."
Hall's Wholesale Florist Theodore,664341,Wholesaler,,not in Christine cascade,5000000,8000000,12000000,Low,location: 2 hubs (Birmingham + Theodore) x $4M each,"Hall's Wholesale Mobile serves Mobile AL area for ~20 years, 105 years total in Alabama. 2 locations confirmed (Birmingham + Theodore). Mobile/Theodore = secondary market. No employee count."
Hartford Florist Supply,670508,Wholesaler,,Sin dato,4000000,7000000,10000000,Low,location: 1 hub Bloomfield CT x $5M + history: 75+ years,75+ year Connecticut wholesale distributor. Serves New England floral professionals. Partners with South American farms + Canada + Asia. Single Bloomfield CT location. Hartford secondary metro.
