prefill_id,source,surface,initiative,account,decision_or_question,why_monday,recommendation_or_next_action,owner,due_date,evidence_or_link,trust_label,status
MON-001,active_ledger,workflow compliance view,System,,Approve workflow compliance gate for V2 publishes.,System/canonical risk that can confuse execution.,Create workflow compliance view and publish checklist.,Nahua,2026-07-16,,Verified,New
MON-002,active_ledger,account plans,Strategic,Bill Doran / Kennicott / Dreisbach,Review first draft account plans.,Strategic account or cross-lane decision.,Draft BUY/LIST/SELL/GROW account plan rows.,Mercury,2026-07-16,,Needs owner validation,New
MON-003,active_ledger,canonical CR,System,,Approve canonical reconciliation priority.,System/canonical risk that can confuse execution.,Create canonical conflict patch queue.,Nahua,2026-07-16,,Verified,New
MON-004,active_ledger,canonical CR,System,K2K,Confirm where K2K correction should live.,System/canonical risk that can confuse execution.,Patch canonical learnings or create CR.,Nahua,2026-07-16,,Verified,New
MON-005,active_ledger,account plan / Friday pack,Strategic,Dreisbach,Confirm delivery path and owner.,Strategic account or cross-lane decision.,Deliver curated vendor list or explicitly re-date/block it.,Facu,2026-07-17,,Needs owner validation,New
MON-006,active_ledger,dashboard gap / account plan,Strategic,Dreisbach,Determine source of WV/Louisville data or mark unavailable.,Strategic account or cross-lane decision.,Return verified data read or blocker.,Facu/Rose,2026-07-17,,Pending reconciliation,New
MON-007,active_ledger,Friday pack / account plan,Strategic,Dreisbach,Confirm whether Christine/Facu should reopen alignment.,Strategic account or cross-lane decision.,Schedule or park implementation alignment.,Christine/Facu,2026-07-17,,Needs owner validation,New
MON-008,active_ledger,Friday pack,SELL,Veldkamps,Confirm owner and implementation timeline.,Leadership-visible item carried from active ledger.,"Get timeline, open questions, and next action from Santiago.",Santiago,2026-07-17,,Needs owner validation,New
MON-009,active_ledger,account plan,Strategic,Bill Doran,Review first Bill Doran account-plan draft.,Strategic account or cross-lane decision.,"Build profile, actions, plays, and next conversation.",Mercury,2026-07-22,,Directional,New
MON-010,active_ledger,Friday pack / hub,SELL,PMT queue,Confirm queue source and Christine collaboration model.,Leadership-visible item carried from active ledger.,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Christine/Pablito/Mercury,2026-07-22,,Needs owner validation,New
MON-011,active_ledger,CR / canonical,System,K2K,Approve canonical correction priority.,System/canonical risk that can confuse execution.,Patch canonical learnings or create CR; clean stale memory references.,Nahua/Codex/Pablito,2026-07-18,,Pending reconciliation,New
MON-012,active_ledger,CR / canonical,System,,Approve reconciliation path.,System/canonical risk that can confuse execution.,Create canonical conflict patch queue.,Nahua/Codex,2026-07-18,,Pending reconciliation,New
MON-013,active_ledger,ledger / hub,System,,Confirm ledger seed should become source of truth.,System/canonical risk that can confuse execution.,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",Codex/Pablito,2026-07-17,,Verified,In progress
FCO-014,friday_readback_seed,Friday queue,SELL,,Confirm implementation queue and readiness criteria with Christine.,Friday carryover requiring leadership visibility or re-route.,"Build SELL PMT readiness queue with account, stage, usage path, milestone.",Pablito,2026-07-16,TXL-2026-07-15-002,Pending Friday readback,Pending Friday review
FCO-015,friday_readback_seed,account plans,Strategic,Bill Doran / Kennicott / Dreisbach,Review first draft account plans.,Friday carryover requiring leadership visibility or re-route.,Draft BUY/LIST/SELL/GROW account plan rows.,Mercury,2026-07-16,TXL-2026-07-15-003,Pending Friday readback,Pending Friday review
