ledger_id,initiative,account,read_safe_summary,conversation_expected,expected_outcome,expected_learning,kpi_or_leading_indicator,objection_or_blocker,before_friday_owner_task,owner_lane,approval_state,trust_label,decision_needed,next_action,next_action_owner,due_date,downstream_artifact,status
TXL-2026-07-15-002,SELL,,SELL / Commercial Readiness is the weakest execution artifact; PMT queue is not connected.,Ask which implementation accounts have a first BUY/LIST/SELL usage path.,Selected PMTs marked TX support yes/no with owner/date.,What prevents implementation from becoming real usage.,First usage path defined; cohort named; measurement plan; first transactions.,"Owner, setup, supply, cohort, measurement, customer workflow.",Christine/Pablito validate accounts and usage paths.,Pablito,Needs owner,Directional,Confirm implementation queue and readiness criteria with Christine.,"Build SELL PMT readiness queue with account, stage, usage path, milestone.",Pablito,2026-07-16,Friday queue,New
TXL-2026-07-15-003,Strategic,Bill Doran / Kennicott / Dreisbach,"Strategic accounts confirmed: Bill Doran, Kennicott, Dreisbach.","Ask what one next conversation reduces account ambiguity for Bill Doran, Kennicott, and Dreisbach.","One blocker, metric, owner, and date per strategic account.",Which BUY/LIST/SELL/GROW lane is binding per account.,Next conversation date; blocker cleared; account objective; owner assigned.,"Strategic sequencing, supply, implementation, procurement, growth readiness.",Cata/Facu confirm one next conversation per account.,Mercury,Needs Facu,Needs owner validation,Review first draft account plans.,Draft BUY/LIST/SELL/GROW account plan rows.,Mercury,2026-07-16,account plans,New
TXL-2026-07-15-004,BUY,Lead B queue,BUY has useful Lead B but lacks approved weekly target queue and assigned caller/date.,Ask P0 pairs what stopped first/repeat online order.,Blocker classified and next order path or no-go captured.,Why connected pairs do not transact or repeat.,Pairs worked; blockers classified; first/second/third order movement.,"Supply, price, trust, habit, terms, timing, ops, tool, unknown.",Cata/CS validate first weekly pair queue and owner/date.,Mercury,Needs owner,Needs owner validation,Approve first 10 pairs or reject selection logic.,Create first weekly BUY queue with blocker taxonomy.,Mercury,2026-07-16,Friday queue,New
TXL-2026-07-15-005,LIST,Lead F candidates,"LIST has useful Lead F but needs top products to upload, current catalog state, pilot criteria.",Ask what real sellable supply can be made credible online.,First pilot or explicit data/customer workflow blocker.,Which supply dimension blocks digital conversion.,Accounts assessed; readiness gates passed; pilot selected; SKUs/formats uploaded.,"Format, variety, time depth, freshness, fulfillment, buyer base.",Cata/CS mark first pilot or Rose data blocker.,Mercury,Needs owner,Directional,Select first supply readiness pilot account.,"Build LIST pilot row: top 5 products, owner, pass/fail metric.",Mercury,2026-07-16,Friday queue,New
TXL-2026-07-15-006,GROW,Black Belt candidates,Black Belt one-pager is good positioning but needs operator view.,Ask which first measured Black Belt play is approved.,One candidate/cohort/message/metric locked or parked.,Whether readiness can be amplified or needs more diagnosis.,Repeat orders; online GMV; buyer response; active SKUs; leakage signal.,"Readiness, supply, willingness, cohort, channel, measurement.",Facu approve candidate set and first measured play.,Mercury,Needs Facu,Directional,Approve operator table format and first accounts.,Add account/cohort/play/message/metric/expected learning table.,Mercury,2026-07-16,Black Belt operator view,New
TXL-2026-07-15-011,Strategic,Dreisbach,Deliver Dreisbach curated vendor list to Angela; list is reported ready and overdue.,,,,,,,Pablito,Needs Facu,Needs owner validation,Confirm delivery path and owner.,Deliver curated vendor list or explicitly re-date/block it.,Facu,2026-07-17,account plan / Friday pack,New
TXL-2026-07-15-012,Strategic,Dreisbach,Resolve Dreisbach WV + Louisville client data dependency; WV is blocked because it is not in Snowflake.,,,,,,,Rose,Needs owner,Pending reconciliation,Determine source of WV/Louisville data or mark unavailable.,Return verified data read or blocker.,Facu/Rose,2026-07-17,dashboard gap / account plan,New
TXL-2026-07-15-013,Strategic,Dreisbach,Re-open Dreisbach implementation alignment with Camila + Sebastian; action overdue from 2026-07-07.,,,,,,,Pablito,Needs owner,Needs owner validation,Confirm whether Christine/Facu should reopen alignment.,Schedule or park implementation alignment.,Christine/Facu,2026-07-17,Friday pack / account plan,New
TXL-2026-07-15-014,Strategic,Dreisbach,Investigate Dreisbach eCom fee billing gap and return verified read or blocker.,,,,,,,Rose,Needs owner,Pending reconciliation,Confirm billing gap scope and whether it affects current read.,Return verified eCom fee billing read.,Rose/Codex,2026-07-17,dashboard gap,New
TXL-2026-07-15-015,SELL,Veldkamps,Resolve Veldkamps eSuite timeline and answer Facu open questions before SFDC close risk compounds.,,,,,,,Pablito,Needs owner,Needs owner validation,Confirm owner and implementation timeline.,"Get timeline, open questions, and next action from Santiago.",Santiago,2026-07-17,Friday pack,New
TXL-2026-07-15-016,Strategic,Bill Doran,Create Bill Doran strategic account profile/actions/plays from existing data; current strategic account has only data.md.,,,,,,,Mercury,Proposed,Directional,Review first Bill Doran account-plan draft.,"Build profile, actions, plays, and next conversation.",Mercury,2026-07-22,account plan,New
TXL-2026-07-15-017,SELL,PMT queue,Build SELL Commercial Readiness / PMT queue; dashboard marks this as weakest artifact and missing.,,,,,,,Pablito,Needs owner,Needs owner validation,Confirm queue source and Christine collaboration model.,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Christine/Pablito/Mercury,2026-07-22,Friday pack / hub,New
TXL-2026-07-15-020,System,,Create/publish first TX Execution Ledger file/table and seed required views.,,,,,,,Pablito,Proposed,Verified,Confirm ledger seed should become source of truth.,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",Codex/Pablito,2026-07-17,ledger / hub,In progress
