ledger_id,created_at,source_type,source_link,read_safe_summary,initiative,conversation_expected,expected_outcome,expected_learning,kpi_or_leading_indicator,objection_or_blocker,before_friday_owner_task,account,hypothesis,workflow,owner_lane,value_prop_required,value_prop_link,evidence_link,trust_label,approval_state,decision_needed,next_action,next_action_owner,due_date,friday_visible,monday_visible,downstream_artifact,status,last_updated_at
TXL-2026-07-15-001,2026-07-15,system_audit,ops/system_audit_2026-07-14.md,Workflow adoption is 7%; V2 must make workflow provenance visible.,System,,,,,,,,System enforcement,tx_execution_ledger_update,Nahua,no,,ops/system_audit_2026-07-14.md,Verified,Needs Facu,Approve workflow compliance gate for V2 publishes.,Create workflow compliance view and publish checklist.,Nahua,2026-07-16,no,yes,workflow compliance view,New,2026-07-15
TXL-2026-07-15-002,2026-07-15,github_audit,ops/tx_github_full_audit_2026-07-14.md,SELL / Commercial Readiness is the weakest execution artifact; PMT queue is not connected.,SELL,Ask which implementation accounts have a first BUY/LIST/SELL usage path.,Selected PMTs marked TX support yes/no with owner/date.,What prevents implementation from becoming real usage.,First usage path defined; cohort named; measurement plan; first transactions.,"Owner, setup, supply, cohort, measurement, customer workflow.",Christine/Pablito validate accounts and usage paths.,,H2 Digitalize GMV,stakeholder_enablement,Pablito,yes,value-prop.html,,Directional,Needs owner,Confirm implementation queue and readiness criteria with Christine.,"Build SELL PMT readiness queue with account, stage, usage path, milestone.",Pablito,2026-07-16,yes,no,Friday queue,New,2026-07-15
TXL-2026-07-15-003,2026-07-15,facu_decision,conversation,"Strategic accounts confirmed: Bill Doran, Kennicott, Dreisbach.",Strategic,"Ask what one next conversation reduces account ambiguity for Bill Doran, Kennicott, and Dreisbach.","One blocker, metric, owner, and date per strategic account.",Which BUY/LIST/SELL/GROW lane is binding per account.,Next conversation date; blocker cleared; account objective; owner assigned.,"Strategic sequencing, supply, implementation, procurement, growth readiness.",Cata/Facu confirm one next conversation per account.,Bill Doran / Kennicott / Dreisbach,H2/H3 full-stack,play_design,Mercury,yes,value-prop.html,/tx-dashboards/tx-strategy-v2/account-plans.html,Needs owner validation,Needs Facu,Review first draft account plans.,Draft BUY/LIST/SELL/GROW account plan rows.,Mercury,2026-07-16,yes,yes,account plans,New,2026-07-15
TXL-2026-07-15-004,2026-07-15,github_audit,ops/tx_github_full_audit_2026-07-14.md,BUY has useful Lead B but lacks approved weekly target queue and assigned caller/date.,BUY,Ask P0 pairs what stopped first/repeat online order.,Blocker classified and next order path or no-go captured.,Why connected pairs do not transact or repeat.,Pairs worked; blockers classified; first/second/third order movement.,"Supply, price, trust, habit, terms, timing, ops, tool, unknown.",Cata/CS validate first weekly pair queue and owner/date.,Lead B queue,H2 BUY,initiative_report,Mercury,yes,value-prop.html,/tx-dashboards/lead-lists/lead_list_B_untransacted_connections.html,Needs owner validation,Needs owner,Approve first 10 pairs or reject selection logic.,Create first weekly BUY queue with blocker taxonomy.,Mercury,2026-07-16,yes,no,Friday queue,New,2026-07-15
TXL-2026-07-15-005,2026-07-15,github_audit,ops/tx_github_full_audit_2026-07-14.md,"LIST has useful Lead F but needs top products to upload, current catalog state, pilot criteria.",LIST,Ask what real sellable supply can be made credible online.,First pilot or explicit data/customer workflow blocker.,Which supply dimension blocks digital conversion.,Accounts assessed; readiness gates passed; pilot selected; SKUs/formats uploaded.,"Format, variety, time depth, freshness, fulfillment, buyer base.",Cata/CS mark first pilot or Rose data blocker.,Lead F candidates,H2 LIST,initiative_execution_build,Mercury,yes,value-prop.html,/tx-dashboards/lead-lists/lead_list_F_bunch_upload_gaps.html,Directional,Needs owner,Select first supply readiness pilot account.,"Build LIST pilot row: top 5 products, owner, pass/fail metric.",Mercury,2026-07-16,yes,no,Friday queue,New,2026-07-15
TXL-2026-07-15-006,2026-07-15,black_belt_audit,/tx-dashboards/black-belt.html,GROW / Black Belt one-pager is good positioning but needs operator view.,GROW,Ask which first measured GROW / Black Belt play is approved.,One candidate/cohort/message/metric locked or parked.,Whether readiness can be amplified or needs more diagnosis.,Repeat orders; online GMV; buyer response; active SKUs; leakage signal.,"Readiness, supply, willingness, cohort, channel, measurement.",Facu approve candidate set and first measured play.,GROW / Black Belt candidates,H2/H3 GROW,play_design,Mercury,yes,/tx-dashboards/value-prop.html,/tx-dashboards/black-belt.html,Directional,Needs Facu,Approve operator table format and first accounts.,Add account/cohort/play/message/metric/expected learning table.,Mercury,2026-07-16,yes,no,GROW / Black Belt operator view,New,2026-07-15
TXL-2026-07-15-007,2026-07-15,session_tldr,ops/session_tldr_2026-07-15_for_codex.md,"Value prop must be dependency for play design, meeting prep, and post-call capture.",System,,,,,,,,Value prop dependency,value_prop_update,Codex,yes,value-prop/WHOLESALER_JOURNEY.md,/tx-dashboards/value-prop.html,Verified,Approved,,Add value-prop dependency field to initiative pages and ledger.,Codex,2026-07-16,no,no,hub update,In progress,2026-07-15
TXL-2026-07-15-008,2026-07-15,system_audit,ops/system_audit_2026-07-14.md,Canonical hypothesis numbering conflicts across files and legacy agent memory.,System,,,,,,,,Canonical consistency,canonical_reconciliation,Nahua,no,,ops/system_audit_2026-07-14.md,Verified,Needs Facu,Approve canonical reconciliation priority.,Create canonical conflict patch queue.,Nahua,2026-07-16,no,yes,canonical CR,New,2026-07-15
TXL-2026-07-15-009,2026-07-15,system_audit,ops/system_audit_2026-07-14.md,K2K fee double-charge error persists in Pablito memory; correction should be canonical.,System,,,,,,,K2K,Canonical learning,canonical_reconciliation,Nahua,no,,ops/system_audit_2026-07-14.md,Verified,Needs owner,Confirm where K2K correction should live.,Patch canonical learnings or create CR.,Nahua,2026-07-16,no,yes,canonical CR,New,2026-07-15
TXL-2026-07-15-010,2026-07-15,github_audit,ops/tx_github_full_audit_2026-07-14.md,Legacy pages and dashboards need linked/evidence/quarantine status.,System,,,,,,,,Dashboard hygiene,live_dashboard_build,Rose,no,,/tx-dashboards/tx-strategy-v2/index.html,Directional,Needs Rose,Validate dashboard registry and quarantine candidates.,Create dashboard registry with status and trust labels.,Rose,2026-07-16,no,no,dashboard registry,New,2026-07-15
