group,lane,owner,unit,account,target_status,worked_status,metric_status,leading_status,learning_status,next_question,next_action,help_needed,trust,source,source_link
Implementation,Commercial Readiness,Christine,Implementation account,MAIN WHOLESALE FLORIST LLC / NJ Clifton Location,Current wholesaler implementation target,Worked / Go-Live and Growth,30-day usage metrics pending Rose,Procurement motion live / status from Christine note,Need to learn whether buy/list/sell path exists after go-live,Are they buying digitally and listing useful supply after go-live?,Add to Christine weekly scorecard,30-day procurement purchases / online sales / product usage pull,Directional Slack-sourced,Christine implementation note,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine,Implementation account,Price's Floral Wholesale LLC,Current wholesaler implementation target,Worked / live and on-site next week,Procurement adoption known; incremental vs channel shift unresolved,30 Blitz connections Apr 27; started buying in Procurement within 1 hour,Standing orders and offline purchase migration are the learning gap,What portion is incremental vs eShop/procurement channel shift vs offline movement?,Track pre/post Apr 27 procurement/eShop/offline and first 30-day Core usage,Rose mini-read and Christine call context,High directional / needs Rose verification,Pablito channel digest + Christine Slack,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine,Implementation account,Mayesh Wholesale Florist Inc,Starting this week / wholesaler queue,Not yet worked in TX board,30-day implementation usage pending,Multilocation Core upsell starting,Need to separate strategic/API learning from implementation usage,Which branch/motion is in scope for implementation usage?,Keep in Implementation queue; do not treat as simple Growth candidate,Branch scope and product usage pull,Directional,Christine implementation note,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine,Implementation account,"Quinlan-Wasserman, Inc",Starting this week / eSuite Wholesaler,Not yet worked in TX board,30-day implementation usage pending,eSuite Wholesaler kickoff/start signal,Need to learn first BUY/LIST/SELL path,What products/features should they use first to create value?,Add to weekly implementation scorecard,Go-live date + product usage + online sales first 30 days,Directional,Christine implementation note,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine,Implementation account,Tennessee Florist Supply - Knox,Starting this week / eSuite Wholesaler,Not yet worked in TX board,30-day implementation usage pending,eSuite Wholesaler kickoff/start signal,Need to learn first BUY/LIST/SELL path,What buying/listing action should happen before sales motion?,Add to weekly implementation scorecard,Go-live date + product usage + online sales first 30 days,Directional,Christine implementation note,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine,Implementation account,Penn Valley Flora LLC,Starting this week / eSuite Wholesaler,Not yet worked in TX board,30-day implementation usage pending,eSuite Wholesaler queue signal,Need to learn first BUY/LIST/SELL path,What blocks becoming commercially ready within 30 days?,Add to weekly implementation scorecard,Go-live date + product usage + online sales first 30 days,Directional,Christine implementation note,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine / Valentina,Implementation account,JFS Wholesale Floral,Target / implementation-growth bridge,Worked / Valentina raised as e-commerce experiment,Metrics show huge offline base and weak online behavior in local run,Weekly specials digitalization; eCommerce delayed until inventory accurate,Need to learn if inventory accuracy and supply list are gating growth,Can weekly specials become a measurable online sales motion?,Prepare supply/client/traffic analysis before late-July eCommerce expert meeting,Supply revision / client revision / competitor analysis / traffic tactics,Medium / local data + Fathom,Channel digest + Black Belt run,/tx-dashboards/tx-strategy-v2/suggested-leads.html
Implementation,Commercial Readiness,Christine / Implementations,Implementation account,Pampa Products,Implementation watch,Worked / Jul 8-10 calls,No TX movement metric yet,Go-live blocked on Easy Handshake directory submission; eCommerce delayed to August,Need to learn if missing inventory blocks sell-side readiness,What minimum inventory/supply has to be ready before eCommerce launch?,Track as blocker row not Growth candidate,Directory submission + inventory status,Directional,Fathom call digest,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine / Implementations,Implementation account,Baisch & Skinner,Implementation watch,Worked / Jul 9 touchbase,No TX movement metric yet,Procurement blocked by PO traceability issue,Need to learn if product blocker prevents digital buying,What workaround or product fix unblocks procurement adoption?,Route blocker to product/implementation with owner/date,PO traceability blocker details,Directional,Fathom call digest,/tx-dashboards/tx-strategy-v2/friday-prefill.html
Implementation,Commercial Readiness,Christine / Implementations,Implementation account,Sims Flowers,Implementation watch + Growth candidate overlap,Worked / Jul 9 implementation call,Online share exists in candidate run; current implementation metric pending,Labeling / multilocation pricing / cross-docking work,Need to learn if operational issues block list/sell readiness,Is Sims ready for refine/growth or still implementation blocked?,Keep row in both implementation watch and growth candidate review,Current product usage + online buyer repeat pull,Medium / mixed sources,Fathom digest + Black Belt run,/tx-dashboards/tx-strategy-v2/suggested-leads.html
