queue_id,agent_lane,ledger_id,initiative,account,input_signal,output_expected,acceptance_criteria,due_date,source_link,trust_label,approval_state,status
AGQ-001,Nahua,TXL-2026-07-15-001,System,,Workflow adoption is 7%; V2 must make workflow provenance visible.,Create workflow compliance view and publish checklist.,"Canonical/workflow issue classified, patch path proposed, stale or conflicting memory quarantined.",2026-07-16,ops/system_audit_2026-07-14.md,Verified,Needs Facu,New
AGQ-002,Pablito,TXL-2026-07-15-002,SELL,,SELL / Commercial Readiness is the weakest execution artifact; PMT queue is not connected.,"Build SELL PMT readiness queue with account, stage, usage path, milestone.",Owner/date/action completeness checked; overdue or blocked rows routed before review.,2026-07-16,ops/tx_github_full_audit_2026-07-14.md,Directional,Needs owner,New
AGQ-003,Mercury,TXL-2026-07-15-003,Strategic,Bill Doran / Kennicott / Dreisbach,"Strategic accounts confirmed: Bill Doran, Kennicott, Dreisbach.",Draft BUY/LIST/SELL/GROW account plan rows.,"Account action includes target, value prop, expected result, expected learning, owner, and due date.",2026-07-16,/tx-dashboards/tx-strategy-v2/account-plans.html,Needs owner validation,Needs Facu,New
AGQ-004,Mercury,TXL-2026-07-15-004,BUY,Lead B queue,BUY has useful Lead B but lacks approved weekly target queue and assigned caller/date.,Create first weekly BUY queue with blocker taxonomy.,"Account action includes target, value prop, expected result, expected learning, owner, and due date.",2026-07-16,/tx-dashboards/lead-lists/lead_list_B_untransacted_connections.html,Needs owner validation,Needs owner,New
AGQ-005,Mercury,TXL-2026-07-15-005,LIST,Lead F candidates,"LIST has useful Lead F but needs top products to upload, current catalog state, pilot criteria.","Build LIST pilot row: top 5 products, owner, pass/fail metric.","Account action includes target, value prop, expected result, expected learning, owner, and due date.",2026-07-16,/tx-dashboards/lead-lists/lead_list_F_bunch_upload_gaps.html,Directional,Needs owner,New
AGQ-006,Mercury,TXL-2026-07-15-006,GROW,GROW / Black Belt candidates,GROW / Black Belt one-pager is good positioning but needs operator view.,Add account/cohort/play/message/metric/expected learning table.,"Account action includes target, value prop, expected result, expected learning, owner, and due date.",2026-07-16,/tx-dashboards/black-belt.html,Directional,Needs Facu,New
AGQ-007,Codex,TXL-2026-07-15-007,System,,"Value prop must be dependency for play design, meeting prep, and post-call capture.",Add value-prop dependency field to initiative pages and ledger.,"Output has source, owner, due date, next action, and review gate.",2026-07-16,/tx-dashboards/value-prop.html,Verified,Approved,In progress
AGQ-008,Nahua,TXL-2026-07-15-008,System,,Canonical hypothesis numbering conflicts across files and legacy agent memory.,Create canonical conflict patch queue.,"Canonical/workflow issue classified, patch path proposed, stale or conflicting memory quarantined.",2026-07-16,ops/system_audit_2026-07-14.md,Verified,Needs Facu,New
AGQ-009,Nahua,TXL-2026-07-15-009,System,K2K,K2K fee double-charge error persists in Pablito memory; correction should be canonical.,Patch canonical learnings or create CR.,"Canonical/workflow issue classified, patch path proposed, stale or conflicting memory quarantined.",2026-07-16,ops/system_audit_2026-07-14.md,Verified,Needs owner,New
AGQ-010,Rose,TXL-2026-07-15-010,System,,Legacy pages and dashboards need linked/evidence/quarantine status.,Create dashboard registry with status and trust labels.,"Source/date/trust label present; claim can be shown as verified, directional, or not-board-ready.",2026-07-16,/tx-dashboards/tx-strategy-v2/index.html,Directional,Needs Rose,New
AGQ-011,Pablito,TXL-2026-07-15-011,Strategic,Dreisbach,Deliver Dreisbach curated vendor list to Angela; list is reported ready and overdue.,Deliver curated vendor list or explicitly re-date/block it.,Owner/date/action completeness checked; overdue or blocked rows routed before review.,2026-07-17,ops/tx_enablement_v2_pablito_2026-07-15.md,Needs owner validation,Needs Facu,New
AGQ-012,Rose,TXL-2026-07-15-012,Strategic,Dreisbach,Resolve Dreisbach WV + Louisville client data dependency; WV is blocked because it is not in Snowflake.,Return verified data read or blocker.,"Source/date/trust label present; claim can be shown as verified, directional, or not-board-ready.",2026-07-17,ops/tx_enablement_v2_pablito_2026-07-15.md,Pending reconciliation,Needs owner,New
AGQ-013,Pablito,TXL-2026-07-15-013,Strategic,Dreisbach,Re-open Dreisbach implementation alignment with Camila + Sebastian; action overdue from 2026-07-07.,Schedule or park implementation alignment.,Owner/date/action completeness checked; overdue or blocked rows routed before review.,2026-07-17,ops/tx_enablement_v2_pablito_2026-07-15.md,Needs owner validation,Needs owner,New
AGQ-014,Rose,TXL-2026-07-15-014,Strategic,Dreisbach,Investigate Dreisbach eCom fee billing gap and return verified read or blocker.,Return verified eCom fee billing read.,"Source/date/trust label present; claim can be shown as verified, directional, or not-board-ready.",2026-07-17,ops/tx_enablement_v2_pablito_2026-07-15.md,Pending reconciliation,Needs owner,New
AGQ-015,Pablito,TXL-2026-07-15-015,SELL,Veldkamps,Resolve Veldkamps eSuite timeline and answer Facu open questions before SFDC close risk compounds.,"Get timeline, open questions, and next action from Santiago.",Owner/date/action completeness checked; overdue or blocked rows routed before review.,2026-07-17,ops/tx_enablement_v2_pablito_2026-07-15.md,Needs owner validation,Needs owner,New
AGQ-016,Mercury,TXL-2026-07-15-016,Strategic,Bill Doran,Create Bill Doran strategic account profile/actions/plays from existing data; current strategic account has only data.md.,"Build profile, actions, plays, and next conversation.","Account action includes target, value prop, expected result, expected learning, owner, and due date.",2026-07-22,ops/tx_enablement_v2_pablito_2026-07-15.md,Directional,Proposed,New
AGQ-017,Pablito,TXL-2026-07-15-017,SELL,PMT queue,Build SELL Commercial Readiness / PMT queue; dashboard marks this as weakest artifact and missing.,"Create PMT queue with account, stage, readiness gap, usage path, milestone.",Owner/date/action completeness checked; overdue or blocked rows routed before review.,2026-07-22,ops/tx_enablement_v2_pablito_2026-07-15.md,Needs owner validation,Needs owner,New
AGQ-018,Nahua,TXL-2026-07-15-018,System,K2K,Propagate K2K fee correction into canonical learnings and clean conflicting Pablito memory references.,Patch canonical learnings or create CR; clean stale memory references.,"Canonical/workflow issue classified, patch path proposed, stale or conflicting memory quarantined.",2026-07-18,ops/system_audit_2026-07-14.md,Pending reconciliation,Needs Facu,New
AGQ-019,Nahua,TXL-2026-07-15-019,System,,Fix hypothesis model conflict across canonical files and legacy memory references; H1-H3 vs H1-H4 blocks correctness.,Create canonical conflict patch queue.,"Canonical/workflow issue classified, patch path proposed, stale or conflicting memory quarantined.",2026-07-18,ops/system_audit_2026-07-14.md,Pending reconciliation,Needs Facu,New
AGQ-020,Pablito,TXL-2026-07-15-020,System,,Create/publish first TX Execution Ledger file/table and seed required views.,"Publish ledger seed and views for Friday, Facu approval, value prop, dashboard gaps, workflow compliance.",Owner/date/action completeness checked; overdue or blocked rows routed before review.,2026-07-17,ops/tx_execution_ledger_v2_schema_2026-07-15.md,Verified,Proposed,In progress
